date,geography,geography code,Second address type: Another address when working away from home,Second address type: Another parent or guardian's address,Second address type: Armed forces base address,Second address type: Holiday home,Second address type: Other,Second address type: Partner's address,Second address type: Second address type not specified,Second address type: Student's home address,Second address type: Student's term-time address,Second address type: Total: All usual residents
2021,Barking and Dagenham 020D,E01000089,0,10,0,5,20,7,0,2,0,44
2021,Barking and Dagenham 020E,E01000090,1,6,0,6,14,8,0,4,1,40
2021,Barking and Dagenham 022A,E01000091,3,19,0,1,14,8,0,0,0,45
2021,Barking and Dagenham 022B,E01000093,1,20,0,3,8,9,0,2,0,43
2021,Barking and Dagenham 022C,E01000094,7,27,1,0,35,14,0,1,1,86
2021,Barking and Dagenham 018E,E01000095,2,16,0,9,15,9,0,0,0,51
2021,Barking and Dagenham 022D,E01000096,6,11,0,4,9,3,0,3,1,37
2021,Barking and Dagenham 023C,E01000097,3,8,0,3,17,10,0,3,0,44
2021,Barking and Dagenham 023D,E01000098,1,19,1,11,16,6,0,0,0,54
2021,Barking and Dagenham 023E,E01000099,2,27,0,11,16,16,0,10,0,82
2021,Barking and Dagenham 004B,E01000100,2,19,1,12,18,8,0,0,1,61
2021,Barking and Dagenham 004C,E01000101,3,13,0,1,12,11,0,2,0,42
2021,Barking and Dagenham 007G,E01000102,4,6,1,4,9,7,0,3,2,36
2021,Barking and Dagenham 014A,E01000103,5,7,1,5,20,10,0,0,0,48
2021,Barking and Dagenham 014B,E01000104,7,11,0,5,13,8,0,0,1,45
2021,Barking and Dagenham 014C,E01000105,5,18,0,12,26,7,0,3,2,73
2021,Barking and Dagenham 014D,E01000106,6,31,0,4,25,8,0,2,1,77
2021,Barking and Dagenham 010C,E01000107,3,9,0,7,13,6,0,6,0,44
2021,Barking and Dagenham 010D,E01000108,5,15,0,12,17,9,0,3,0,61
2021,Barking and Dagenham 002C,E01000110,7,12,0,9,9,8,0,0,2,47
2021,Barking and Dagenham 002D,E01000111,5,20,0,12,23,94,0,0,0,154
2021,Barking and Dagenham 002E,E01000112,2,20,0,11,35,10,0,3,0,81
2021,Barking and Dagenham 002F,E01000113,4,17,0,19,15,10,0,1,1,67
2021,Barking and Dagenham 004E,E01000114,13,18,0,15,25,8,0,2,0,81
2021,Barnet 009A,E01000115,4,5,0,23,17,4,0,0,0,53
2021,Barnet 009B,E01000116,4,19,0,10,11,6,0,2,0,52
2021,Barnet 010A,E01000117,2,19,0,6,27,8,0,0,0,62
2021,Barnet 010B,E01000118,8,7,0,6,16,9,0,5,0,51
2021,Barnet 009C,E01000119,10,9,0,16,24,10,0,3,0,72
2021,Barnet 009D,E01000120,7,13,0,12,23,10,0,0,1,66
2021,Barnet 010C,E01000121,1,15,0,13,14,0,0,0,0,43
2021,Barnet 009E,E01000122,6,14,0,18,22,3,0,6,0,69
2021,Barnet 010D,E01000123,8,36,0,8,25,8,0,1,0,86
2021,Barnet 010E,E01000124,3,54,1,13,34,5,0,1,0,111
2021,Barnet 026A,E01000126,11,39,0,6,45,6,0,12,1,120
2021,Barnet 024B,E01000127,4,17,0,10,17,5,0,5,0,58
2021,Barnet 024C,E01000128,6,28,0,15,23,8,0,8,2,90
2021,Barnet 024D,E01000129,7,6,0,7,16,7,0,4,0,47
2021,Barnet 021A,E01000130,4,18,0,11,20,9,0,0,0,62
2021,Barnet 024E,E01000131,10,28,0,4,46,19,0,7,0,114
2021,Barnet 021B,E01000132,3,18,0,5,11,7,0,2,0,46
2021,Barnet 021C,E01000133,3,18,0,1,11,9,0,2,1,45
2021,Barnet 024F,E01000134,7,4,0,10,32,7,0,3,0,63
2021,Barnet 038A,E01000135,5,23,0,36,42,15,0,5,1,127
