date,geography,geography code,Schoolchild or full-time student indicator: Not a student,Schoolchild or full-time student indicator: Student,Schoolchild or full-time student indicator: Total
2021,Barnet 036C,E01000306,1515,320,1835
2021,Barnet 039D,E01000307,1190,359,1549
2021,Barnet 036D,E01000308,1635,304,1939
2021,Barnet 031D,E01000309,1495,455,1950
2021,Barnet 034C,E01000310,1634,441,2075
2021,Barnet 034D,E01000311,1053,572,1625
2021,Barnet 036E,E01000312,1331,336,1667
2021,Barnet 036F,E01000313,1414,378,1792
2021,Barnet 032F,E01000314,1588,480,2068
2021,Barnet 022F,E01000315,1267,368,1635
2021,Barnet 027E,E01000316,1647,501,2148
2021,Barnet 019D,E01000317,1171,335,1506
2021,Barnet 019E,E01000318,1404,461,1865
2021,Barnet 027F,E01000319,1012,314,1326
2021,Barnet 011D,E01000320,1499,330,1829
2021,Barnet 012E,E01000321,1573,283,1856
2021,Barnet 011E,E01000322,1358,385,1743
2021,Barnet 019F,E01000323,1842,415,2257
2021,Barnet 015F,E01000324,1334,418,1752
2021,Bexley 014A,E01000325,1266,286,1552
2021,Bexley 014B,E01000326,1023,243,1266
2021,Bexley 017A,E01000327,1253,294,1547
2021,Bexley 017B,E01000328,1234,316,1550
2021,Bexley 017C,E01000329,1244,330,1574
2021,Bexley 017D,E01000330,1309,252,1561
2021,Bexley 017E,E01000331,1196,365,1561
2021,Bexley 005A,E01000332,1245,265,1510
2021,Bexley 003A,E01000333,1400,375,1775
2021,Bexley 006A,E01000334,1238,341,1579
2021,Bexley 003B,E01000335,1930,567,2497
2021,Bexley 003C,E01000336,1350,495,1845
2021,Bexley 003D,E01000337,1215,388,1603
2021,Bexley 003E,E01000338,1352,399,1751
2021,Bexley 025A,E01000339,1193,334,1527
2021,Bexley 018A,E01000340,1201,267,1468
2021,Bexley 022A,E01000341,1223,252,1475
2021,Bexley 022B,E01000342,1172,272,1444
2021,Bexley 022C,E01000343,1129,300,1429
2021,Bexley 025B,E01000344,1187,326,1513
2021,Bexley 022D,E01000345,1046,234,1280
2021,Bexley 021A,E01000346,1218,271,1489
2021,Bexley 021B,E01000347,1135,283,1418
2021,Bexley 020A,E01000348,1159,279,1438
2021,Bexley 020B,E01000349,1303,313,1616
2021,Bexley 021C,E01000350,1134,262,1396
2021,Bexley 024A,E01000351,1257,243,1500
2021,Bexley 021D,E01000352,1219,310,1529
2021,Bexley 011A,E01000353,1328,257,1585
2021,Bexley 011B,E01000354,1150,268,1418
2021,Bexley 011C,E01000355,1183,190,1373
2021,Bexley 009A,E01000356,1203,270,1473
2021,Bexley 009B,E01000357,1055,277,1332
2021,Bexley 011D,E01000358,1290,289,1579
2021,Bexley 009C,E01000359,1001,196,1197
2021,Bexley 015A,E01000360,1464,330,1794
2021,Bexley 020C,E01000361,1209,287,1496
2021,Bexley 015B,E01000362,1437,324,1761
2021,Bexley 020D,E01000363,1176,282,1458
2021,Bexley 023A,E01000364,1281,331,1612
2021,Bexley 015C,E01000365,1320,300,1620
2021,Bexley 015D,E01000366,1246,283,1529
2021,Bexley 010A,E01000367,1521,584,2105
2021,Bexley 010B,E01000368,1155,401,1556
2021,Bexley 014C,E01000369,1318,325,1643
2021,Bexley 014D,E01000370,1242,234,1476
2021,Bexley 014E,E01000371,1223,271,1494
2021,Bexley 010C,E01000372,1204,396,1600
2021,Bexley 008A,E01000373,819,366,1185
2021,Bexley 019A,E01000374,1062,419,1481
2021,Bexley 019B,E01000375,1520,453,1973
2021,Bexley 019C,E01000376,1194,328,1522
2021,Bexley 019D,E01000377,1165,224,1389
2021,Bexley 019F,E01000379,1263,365,1628
2021,Bexley 010D,E01000380,1419,232,1651
2021,Bexley 028A,E01000381,1200,319,1519
2021,Bexley 027A,E01000382,1198,296,1494
2021,Bexley 028B,E01000383,1250,243,1493
2021,Bexley 027B,E01000384,1296,306,1602
2021,Bexley 028C,E01000385,1364,499,1863
2021,Bexley 028D,E01000386,1148,302,1450
2021,Bexley 027C,E01000387,1227,252,1479
2021,Bexley 016A,E01000388,1170,264,1434
2021,Bexley 020E,E01000389,1315,303,1618
2021,Bexley 020F,E01000390,1015,238,1253
2021,Bexley 021E,E01000391,1285,354,1639
2021,Bexley 016B,E01000392,1382,442,1824
2021,Bexley 020G,E01000393,1269,334,1603
2021,Bexley 015E,E01000394,1272,278,1550
2021,Bexley 018B,E01000395,1174,271,1445
2021,Bexley 018C,E01000396,1105,265,1370
2021,Bexley 029A,E01000398,1227,279,1506
2021,Bexley 029B,E01000399,1225,262,1487
2021,Bexley 029C,E01000400,1213,281,1494
2021,Bexley 013A,E01000401,1349,360,1709
2021,Bexley 005B,E01000402,1151,339,1490
2021,Bexley 004A,E01000403,1730,495,2225
2021,Bexley 004B,E01000404,1522,651,2173
2021,Bexley 004C,E01000405,1038,399,1437
2021,Bexley 005C,E01000406,1499,443,1942
2021,Bexley 005D,E01000407,1422,348,1770
2021,Bexley 004D,E01000408,1212,438,1650
2021,Bexley 016C,E01000409,1308,326,1634
2021,Bexley 018D,E01000410,1210,346,1556
2021,Bexley 016D,E01000411,1142,270,1412
2021,Bexley 018E,E01000412,1290,363,1653
2021,Bexley 018F,E01000413,1026,256,1282
2021,Bexley 016E,E01000414,1422,369,1791
2021,Bexley 016F,E01000415,1171,240,1411
2021,Bexley 002A,E01000416,1139,429,1568
2021,Bexley 006B,E01000417,1301,331,1632
2021,Bexley 002B,E01000418,1397,429,1826
2021,Bexley 006C,E01000419,1167,244,1411
2021,Bexley 006D,E01000420,1157,267,1424
2021,Bexley 009D,E01000421,1231,217,1448
2021,Bexley 002C,E01000422,870,376,1246
2021,Bexley 025C,E01000423,1210,304,1514
2021,Bexley 026A,E01000424,1395,274,1669
2021,Bexley 025D,E01000425,1387,300,1687
2021,Bexley 026B,E01000426,1285,281,1566
2021,Bexley 026C,E01000427,1556,341,1897
2021,Bexley 027D,E01000428,1446,324,1770
2021,Bexley 008B,E01000429,1120,421,1541
2021,Bexley 008C,E01000430,1354,576,1930
2021,Bexley 008D,E01000431,805,311,1116
2021,Bexley 008F,E01000433,1301,501,1802
2021,Bexley 008G,E01000434,1132,362,1494
2021,Bexley 010E,E01000435,1055,327,1382
2021,Bexley 011E,E01000436,1308,351,1659
2021,Bexley 007A,E01000437,1036,266,1302
2021,Bexley 007B,E01000438,1195,367,1562
2021,Bexley 007C,E01000439,1011,325,1336
2021,Bexley 007D,E01000440,1105,229,1334
2021,Bexley 007E,E01000441,1228,455,1683
2021,Bexley 006E,E01000442,1283,312,1595
2021,Bexley 024B,E01000443,998,255,1253
2021,Bexley 023B,E01000444,1284,264,1548
2021,Bexley 024C,E01000445,1277,300,1577
2021,Bexley 024D,E01000446,1173,253,1426
2021,Bexley 023C,E01000447,1504,322,1826
2021,Bexley 023D,E01000448,1054,237,1291
2021,Bexley 023E,E01000449,1231,247,1478
2021,Bexley 009E,E01000450,1291,409,1700
2021,Bexley 009F,E01000451,1327,322,1649
2021,Bexley 009G,E01000452,1079,262,1341
2021,Bexley 013B,E01000453,1097,287,1384
2021,Bexley 013C,E01000454,1234,290,1524
2021,Bexley 013D,E01000455,1361,349,1710
2021,Bexley 013E,E01000456,1063,281,1344
2021,Bexley 026D,E01000457,1572,487,2059
2021,Bexley 027E,E01000458,1221,264,1485
2021,Bexley 027F,E01000459,1465,319,1784
2021,Bexley 022E,E01000460,986,206,1192
2021,Bexley 024E,E01000461,1209,338,1547
2021,Bexley 026E,E01000462,1495,463,1958
2021,Bexley 025E,E01000463,940,238,1178
2021,Bexley 002D,E01000464,1030,422,1452
2021,Bexley 002E,E01000465,1160,410,1570
2021,Bexley 001A,E01000466,1115,496,1611
2021,Bexley 001B,E01000467,1127,434,1561
2021,Bexley 001C,E01000468,1750,982,2732
2021,Bexley 001D,E01000469,1145,465,1610
2021,Bexley 002F,E01000470,866,327,1193
2021,Brent 026A,E01000471,1331,331,1662
2021,Brent 029A,E01000472,1698,523,2221
2021,Brent 029B,E01000473,1936,617,2553
2021,Brent 026B,E01000474,1639,505,2144
2021,Brent 029C,E01000475,1554,444,1998
2021,Brent 026C,E01000476,1680,390,2070
2021,Brent 026D,E01000477,1721,514,2235
2021,Brent 029D,E01000478,1855,489,2344
2021,Brent 009A,E01000479,1318,367,1685
2021,Brent 006A,E01000480,1256,361,1617
2021,Brent 009B,E01000481,1120,410,1530
2021,Brent 009D,E01000483,1234,491,1725
2021,Brent 006B,E01000484,1253,416,1669
2021,Brent 006C,E01000485,1234,296,1530
2021,Brent 006D,E01000486,1220,385,1605
2021,Brent 006E,E01000487,1438,444,1882
2021,Brent 022A,E01000488,1221,345,1566
2021,Brent 030A,E01000489,1308,338,1646
2021,Brent 023A,E01000490,1387,283,1670
2021,Brent 030B,E01000491,1526,431,1957
2021,Brent 030C,E01000492,955,258,1213
2021,Brent 030D,E01000493,1220,288,1508
2021,Brent 023B,E01000494,1353,328,1681
2021,Brent 023C,E01000495,1239,289,1528
2021,Brent 011A,E01000497,1638,338,1976
2021,Brent 010B,E01000498,1120,452,1572
2021,Brent 011B,E01000499,1264,502,1766
2021,Brent 011C,E01000501,1356,537,1893
2021,Brent 011D,E01000502,1256,464,1720
2021,Brent 011E,E01000503,1525,436,1961
2021,Brent 018A,E01000504,1329,355,1684
2021,Brent 018B,E01000505,1214,340,1554
2021,Brent 014A,E01000506,1197,364,1561
2021,Brent 018C,E01000507,1202,339,1541
2021,Brent 025A,E01000508,1619,789,2408
2021,Brent 014B,E01000509,1053,332,1385
2021,Brent 014C,E01000510,1185,369,1554
2021,Brent 014D,E01000511,1162,422,1584
2021,Brent 018D,E01000512,1229,391,1620
2021,Brent 002A,E01000513,1215,372,1587
2021,Brent 002B,E01000514,1123,369,1492
2021,Brent 003A,E01000515,1320,421,1741
