date,geography,geography code,Residence type: Lives in a communal establishment,Residence type: Lives in a household,Residence type: Total: All usual residents
2021,Bexley 018C,E01000396,0,1452,1452
2021,Bexley 029A,E01000398,0,1593,1593
2021,Bexley 029B,E01000399,0,1571,1571
2021,Bexley 029C,E01000400,0,1573,1573
2021,Bexley 013A,E01000401,73,1743,1816
2021,Bexley 005B,E01000402,6,1599,1605
2021,Bexley 004A,E01000403,0,2403,2403
2021,Bexley 004B,E01000404,2,2421,2423
2021,Bexley 004C,E01000405,9,1567,1576
2021,Bexley 005C,E01000406,1,2143,2144
2021,Bexley 005D,E01000407,21,1849,1870
2021,Bexley 004D,E01000408,0,1774,1774
2021,Bexley 016C,E01000409,0,1742,1742
2021,Bexley 018D,E01000410,0,1658,1658
2021,Bexley 016D,E01000411,0,1494,1494
2021,Bexley 018E,E01000412,0,1766,1766
2021,Bexley 018F,E01000413,0,1347,1347
2021,Bexley 016E,E01000414,0,1894,1894
2021,Bexley 016F,E01000415,0,1465,1465
2021,Bexley 002A,E01000416,44,1587,1631
2021,Bexley 006B,E01000417,0,1739,1739
2021,Bexley 002B,E01000418,0,1946,1946
2021,Bexley 006C,E01000419,0,1495,1495
2021,Bexley 006D,E01000420,0,1522,1522
2021,Bexley 009D,E01000421,0,1521,1521
2021,Bexley 002C,E01000422,0,1338,1338
2021,Bexley 025C,E01000423,9,1598,1607
2021,Bexley 026A,E01000424,60,1667,1727
2021,Bexley 025D,E01000425,118,1682,1800
2021,Bexley 026B,E01000426,0,1672,1672
2021,Bexley 026C,E01000427,0,2011,2011
2021,Bexley 027D,E01000428,52,1850,1902
2021,Bexley 008B,E01000429,0,1693,1693
2021,Bexley 008C,E01000430,0,2050,2050
2021,Bexley 008D,E01000431,3,1196,1199
2021,Bexley 008F,E01000433,0,1957,1957
2021,Bexley 008G,E01000434,0,1593,1593
2021,Bexley 010E,E01000435,0,1490,1490
2021,Bexley 011E,E01000436,0,1757,1757
2021,Bexley 007A,E01000437,0,1373,1373
2021,Bexley 007B,E01000438,6,1682,1688
2021,Bexley 007C,E01000439,0,1424,1424
2021,Bexley 007D,E01000440,0,1385,1385
2021,Bexley 007E,E01000441,1,1801,1802
2021,Bexley 006E,E01000442,0,1679,1679
2021,Bexley 024B,E01000443,0,1330,1330
2021,Bexley 023B,E01000444,1,1641,1642
2021,Bexley 024C,E01000445,0,1666,1666
2021,Bexley 024D,E01000446,0,1505,1505
2021,Bexley 023C,E01000447,0,1959,1959
2021,Bexley 023D,E01000448,0,1346,1346
2021,Bexley 023E,E01000449,9,1553,1562
2021,Bexley 009E,E01000450,0,1801,1801
2021,Bexley 009F,E01000451,0,1750,1750
2021,Bexley 009G,E01000452,0,1420,1420
2021,Bexley 013B,E01000453,0,1477,1477
2021,Bexley 013C,E01000454,0,1631,1631
2021,Bexley 013D,E01000455,0,1792,1792
2021,Bexley 013E,E01000456,0,1422,1422
2021,Bexley 026D,E01000457,66,2109,2175
2021,Bexley 027E,E01000458,0,1542,1542
2021,Bexley 027F,E01000459,18,1853,1871
2021,Bexley 022E,E01000460,0,1261,1261
2021,Bexley 024E,E01000461,0,1637,1637
2021,Bexley 026E,E01000462,254,1800,2054
2021,Bexley 025E,E01000463,0,1251,1251
2021,Bexley 002D,E01000464,0,1518,1518
2021,Bexley 002E,E01000465,0,1690,1690
2021,Bexley 001A,E01000466,0,1713,1713
2021,Bexley 001B,E01000467,46,1631,1677
2021,Bexley 001C,E01000468,1,2931,2932
2021,Bexley 001D,E01000469,2,1736,1738
2021,Bexley 002F,E01000470,0,1307,1307
2021,Brent 026A,E01000471,0,1721,1721
2021,Brent 029A,E01000472,0,2404,2404
