date,geography,geography code,Age of arrival in the UK: Arrived in the UK,Age of arrival in the UK: Arrived in the UK: Aged 0 to 4 years,Age of arrival in the UK: Arrived in the UK: Aged 10 to 14 years,Age of arrival in the UK: Arrived in the UK: Aged 15 years,Age of arrival in the UK: Arrived in the UK: Aged 16 to 17 years,Age of arrival in the UK: Arrived in the UK: Aged 18 to 19 years,Age of arrival in the UK: Arrived in the UK: Aged 20 to 24 years,Age of arrival in the UK: Arrived in the UK: Aged 25 to 29 years,Age of arrival in the UK: Arrived in the UK: Aged 30 to 44 years,Age of arrival in the UK: Arrived in the UK: Aged 45 to 59 years,Age of arrival in the UK: Arrived in the UK: Aged 5 to 7 years,Age of arrival in the UK: Arrived in the UK: Aged 60 to 64 years,Age of arrival in the UK: Arrived in the UK: Aged 65 to 74 years,Age of arrival in the UK: Arrived in the UK: Aged 75 to 84 years,Age of arrival in the UK: Arrived in the UK: Aged 8 to 9 years,Age of arrival in the UK: Arrived in the UK: Aged 85 to 89 years,Age of arrival in the UK: Arrived in the UK: Aged 90 years and over,Age of arrival in the UK: Born in the UK,Age of arrival in the UK: Total: All usual residents
2021,Bexley 020F,E01000390,198,23,17,3,12,17,38,27,40,4,6,3,0,1,7,0,0,1136,1334
2021,Bexley 021E,E01000391,304,27,11,1,12,17,64,77,51,15,13,1,5,0,10,0,0,1445,1749
2021,Bexley 016B,E01000392,636,59,30,7,23,38,133,132,132,29,24,5,4,0,20,0,0,1322,1958
2021,Bexley 020G,E01000393,408,42,29,2,14,22,65,80,99,19,19,1,7,1,8,0,0,1284,1692
2021,Bexley 015E,E01000394,313,29,18,2,11,13,73,59,71,14,10,1,3,0,9,0,0,1313,1626
2021,Bexley 018B,E01000395,277,25,18,3,14,26,59,41,61,5,13,2,1,2,7,0,0,1252,1529
2021,Bexley 018C,E01000396,231,17,12,4,8,19,58,55,38,5,5,0,2,0,8,0,0,1220,1451
2021,Bexley 029A,E01000398,340,39,20,6,9,21,60,62,72,19,19,1,6,0,6,0,0,1252,1592
2021,Bexley 029B,E01000399,390,40,22,3,20,34,76,78,70,13,14,2,3,2,13,0,0,1185,1575
2021,Bexley 029C,E01000400,428,27,29,14,22,29,87,97,72,24,11,1,3,1,11,0,0,1148,1576
2021,Bexley 013A,E01000401,436,45,28,6,16,27,90,75,97,21,15,0,5,0,11,0,0,1380,1816
2021,Bexley 005B,E01000402,375,28,45,6,17,25,71,60,74,17,15,3,3,0,11,0,0,1233,1608
2021,Bexley 004A,E01000403,663,41,42,8,30,41,100,124,172,32,31,11,4,1,26,0,0,1739,2402
2021,Bexley 004B,E01000404,879,91,51,16,35,45,162,178,197,27,39,3,4,1,30,0,0,1547,2426
2021,Bexley 004C,E01000405,456,38,36,10,12,15,91,86,103,25,25,2,1,0,12,0,0,1119,1575
2021,Bexley 005C,E01000406,681,47,46,9,28,45,122,144,160,33,30,4,2,1,10,0,0,1462,2143
2021,Bexley 005D,E01000407,508,60,27,9,16,26,96,111,107,16,15,3,2,1,19,0,0,1362,1870
2021,Bexley 004D,E01000408,656,63,43,10,32,44,146,94,142,32,26,1,4,4,15,0,0,1119,1775
2021,Bexley 016C,E01000409,310,27,17,2,15,15,78,50,59,24,12,3,4,0,4,0,0,1431,1741
2021,Bexley 018D,E01000410,303,18,26,5,7,19,70,69,53,8,14,3,1,1,9,0,0,1355,1658
2021,Bexley 016D,E01000411,239,27,14,5,13,13,43,59,40,10,8,0,1,0,6,0,0,1255,1494
2021,Bexley 018E,E01000412,372,28,30,5,14,25,92,57,77,16,15,1,0,0,12,0,0,1393,1765
2021,Bexley 018F,E01000413,203,16,20,4,8,10,53,33,35,5,13,0,0,0,6,0,0,1144,1347
2021,Bexley 016E,E01000414,604,47,43,11,18,42,127,111,130,18,27,5,6,3,15,1,0,1293,1897
2021,Bexley 016F,E01000415,303,32,15,4,14,30,65,56,53,9,18,1,2,0,4,0,0,1163,1466
2021,Bexley 002A,E01000416,741,59,53,13,31,26,134,126,202,46,28,6,3,0,13,0,1,888,1629
2021,Bexley 006B,E01000417,454,42,22,3,13,28,77,102,104,22,23,2,5,1,10,0,0,1285,1739
2021,Bexley 002B,E01000418,756,57,55,12,25,44,155,143,171,34,25,9,9,2,15,0,0,1192,1948
2021,Bexley 006C,E01000419,317,28,29,3,23,27,78,51,55,5,8,0,2,0,7,1,0,1178,1495
2021,Bexley 006D,E01000420,250,20,20,4,14,17,54,42,47,10,11,0,2,4,3,2,0,1272,1522
2021,Bexley 009D,E01000421,213,19,16,4,15,14,33,43,35,9,10,1,1,1,11,1,0,1307,1520
2021,Bexley 002C,E01000422,553,48,38,10,20,18,88,99,163,26,18,3,1,0,21,0,0,784,1337
2021,Bexley 025C,E01000423,180,18,9,4,12,17,40,38,27,7,5,0,1,0,2,0,0,1423,1603
2021,Bexley 026A,E01000424,201,21,20,0,10,11,28,37,48,6,12,0,0,0,8,0,0,1528,1729
2021,Bexley 025D,E01000425,183,17,10,5,11,15,37,40,37,3,2,1,0,1,4,0,0,1620,1803
2021,Bexley 026B,E01000426,217,19,12,5,16,19,51,26,51,3,8,1,2,0,4,0,0,1452,1669
2021,Bexley 026C,E01000427,235,21,22,2,11,10,42,42,48,11,18,3,0,1,4,0,0,1774,2009
2021,Bexley 027D,E01000428,380,27,19,6,20,20,59,68,105,24,13,3,2,2,11,1,0,1519,1899
2021,Bexley 008B,E01000429,536,44,23,6,17,34,90,101,140,35,24,4,2,2,14,0,0,1159,1695
2021,Bexley 008C,E01000430,683,53,58,4,16,32,137,112,183,28,31,3,6,0,20,0,0,1368,2051
2021,Bexley 008D,E01000431,351,35,14,6,11,15,70,60,89,24,13,0,2,1,11,0,0,849,1200
2021,Bexley 008F,E01000433,497,47,27,3,15,13,98,109,122,32,14,2,0,1,14,0,0,1460,1957
2021,Bexley 008G,E01000434,320,35,17,6,17,16,46,52,86,22,14,2,0,0,7,0,0,1273,1593
2021,Bexley 010E,E01000435,333,23,20,10,13,19,56,58,78,21,10,2,4,0,19,0,0,1154,1487
2021,Bexley 011E,E01000436,216,31,9,2,10,9,40,48,41,5,10,3,1,0,7,0,0,1544,1760
2021,Bexley 007A,E01000437,182,19,15,5,4,8,27,40,41,0,13,0,0,1,9,0,0,1191,1373
2021,Bexley 007B,E01000438,292,40,15,3,9,16,51,65,64,10,10,3,0,0,6,0,0,1395,1687
2021,Bexley 007C,E01000439,281,35,15,0,11,12,59,49,60,13,14,3,0,0,10,0,0,1144,1425
2021,Bexley 007D,E01000440,205,18,16,6,11,19,63,27,24,5,11,2,1,0,2,0,0,1182,1387
2021,Bexley 007E,E01000441,350,38,22,6,15,12,80,61,76,9,18,1,1,2,9,0,0,1452,1802
2021,Bexley 006E,E01000442,251,21,17,2,12,18,60,47,40,6,11,1,4,0,12,0,0,1429,1680
2021,Bexley 024B,E01000443,141,16,9,0,6,11,31,29,21,5,8,0,0,0,5,0,0,1189,1330
2021,Bexley 023B,E01000444,178,18,7,7,14,13,34,33,30,6,11,0,1,0,4,0,0,1463,1641
2021,Bexley 024C,E01000445,199,25,15,4,12,11,31,24,52,7,12,0,1,0,5,0,0,1467,1666
2021,Bexley 024D,E01000446,128,14,11,4,4,10,30,23,21,1,7,0,0,0,3,0,0,1377,1505
2021,Bexley 023C,E01000447,274,22,25,4,23,20,48,63,46,11,7,1,0,0,4,0,0,1685,1959
2021,Bexley 023D,E01000448,122,17,7,0,12,9,21,15,25,2,7,0,1,0,6,0,0,1226,1348
2021,Bexley 023E,E01000449,167,30,14,2,7,10,30,23,35,0,5,3,1,1,6,0,0,1393,1560
2021,Bexley 009E,E01000450,349,24,16,10,14,23,79,77,64,17,12,3,1,0,9,0,0,1453,1802
2021,Bexley 009F,E01000451,327,36,17,3,20,21,76,51,61,17,12,1,4,0,8,0,0,1420,1747
2021,Bexley 009G,E01000452,259,23,31,7,16,25,47,42,41,7,10,1,0,0,9,0,0,1162,1421
