date,geography,geography code,Sex: All persons,Sex: Female,Sex: Male
2021,Bexley 002A,E01000416,1631,824,807
2021,Bexley 006B,E01000417,1740,899,841
2021,Bexley 002B,E01000418,1946,979,967
2021,Bexley 006C,E01000419,1495,774,721
2021,Bexley 006D,E01000420,1522,811,711
2021,Bexley 009D,E01000421,1521,797,724
2021,Bexley 002C,E01000422,1338,707,631
2021,Bexley 025C,E01000423,1607,803,804
2021,Bexley 026A,E01000424,1726,898,828
2021,Bexley 025D,E01000425,1800,919,881
2021,Bexley 026B,E01000426,1672,838,834
2021,Bexley 026C,E01000427,2011,1092,919
2021,Bexley 027D,E01000428,1902,1027,875
2021,Bexley 008B,E01000429,1693,895,798
2021,Bexley 008C,E01000430,2051,1085,966
2021,Bexley 008D,E01000431,1200,646,554
2021,Bexley 008F,E01000433,1957,988,969
2021,Bexley 008G,E01000434,1593,852,741
2021,Bexley 010E,E01000435,1490,781,709
2021,Bexley 011E,E01000436,1758,893,865
2021,Bexley 007A,E01000437,1374,714,660
2021,Bexley 007B,E01000438,1688,853,835
2021,Bexley 007C,E01000439,1424,740,684
2021,Bexley 007D,E01000440,1385,707,678
2021,Bexley 007E,E01000441,1802,938,864
2021,Bexley 006E,E01000442,1679,867,812
2021,Bexley 024B,E01000443,1331,682,649
2021,Bexley 023B,E01000444,1642,844,798
2021,Bexley 024C,E01000445,1666,847,819
2021,Bexley 024D,E01000446,1505,791,714
2021,Bexley 023C,E01000447,1959,1015,944
2021,Bexley 023D,E01000448,1348,686,662
2021,Bexley 023E,E01000449,1562,802,760
2021,Bexley 009E,E01000450,1801,919,882
2021,Bexley 009F,E01000451,1750,885,865
2021,Bexley 009G,E01000452,1420,715,705
2021,Bexley 013B,E01000453,1479,770,709
2021,Bexley 013C,E01000454,1631,846,785
2021,Bexley 013D,E01000455,1792,907,885
2021,Bexley 013E,E01000456,1422,752,670
2021,Bexley 026D,E01000457,2175,1217,958
2021,Bexley 027E,E01000458,1539,808,731
2021,Bexley 027F,E01000459,1871,1004,867
2021,Bexley 022E,E01000460,1261,633,628
2021,Bexley 024E,E01000461,1637,808,829
2021,Bexley 026E,E01000462,2054,1097,957
2021,Bexley 025E,E01000463,1251,626,625
2021,Bexley 002D,E01000464,1518,788,730
2021,Bexley 002E,E01000465,1690,882,808
2021,Bexley 001A,E01000466,1713,852,861
2021,Bexley 001B,E01000467,1679,875,804
2021,Bexley 001C,E01000468,2932,1507,1425
2021,Bexley 001D,E01000469,1736,910,826
2021,Bexley 002F,E01000470,1307,693,614
2021,Brent 026A,E01000471,1721,845,876
2021,Brent 029A,E01000472,2404,1246,1158
2021,Brent 029B,E01000473,2704,1343,1361
2021,Brent 026B,E01000474,2272,1149,1123
2021,Brent 029C,E01000475,2124,1053,1071
2021,Brent 026C,E01000476,2196,1086,1110
2021,Brent 026D,E01000477,2376,1115,1261
2021,Brent 029D,E01000478,2528,1263,1265
2021,Brent 009A,E01000479,1762,914,848
2021,Brent 006A,E01000480,1688,837,851
2021,Brent 009B,E01000481,1635,879,756
2021,Brent 009D,E01000483,1852,971,881
2021,Brent 006B,E01000484,1765,929,836
2021,Brent 006C,E01000485,1604,824,780
2021,Brent 006D,E01000486,1698,848,850
2021,Brent 006E,E01000487,1987,1028,959
2021,Brent 022A,E01000488,1647,886,761
2021,Brent 030A,E01000489,1725,852,873
2021,Brent 023A,E01000490,1771,901,870
2021,Brent 030B,E01000491,2066,1078,988
2021,Brent 030C,E01000492,1273,651,622
2021,Brent 030D,E01000493,1597,851,746
2021,Brent 023B,E01000494,1761,905,856
2021,Brent 023C,E01000495,1591,756,835
2021,Brent 011A,E01000497,2071,1047,1024
2021,Brent 010B,E01000498,1683,822,861
2021,Brent 011B,E01000499,1896,1036,860
2021,Brent 011C,E01000501,2031,1079,952
2021,Brent 011D,E01000502,1882,1004,878
2021,Brent 011E,E01000503,2093,1032,1061
2021,Brent 018A,E01000504,1799,941,858
2021,Brent 018B,E01000505,1677,867,810
2021,Brent 014A,E01000506,1657,855,802
2021,Brent 018C,E01000507,1617,819,798
2021,Brent 025A,E01000508,2616,1431,1185
2021,Brent 014B,E01000509,1438,675,763
2021,Brent 014C,E01000510,1672,848,824
2021,Brent 014D,E01000511,1770,906,864
2021,Brent 018D,E01000512,1703,827,876
2021,Brent 002A,E01000513,1678,808,870
2021,Brent 002B,E01000514,1570,766,804
2021,Brent 003A,E01000515,1875,955,920
2021,Brent 002C,E01000516,2345,1157,1188
2021,Brent 003B,E01000517,1623,818,805
2021,Brent 005A,E01000518,1915,965,950
2021,Brent 005B,E01000519,2013,1018,995
2021,Brent 002D,E01000520,1677,848,829
2021,Brent 025B,E01000521,2275,1219,1056
2021,Brent 025C,E01000522,2048,1105,943
2021,Brent 031A,E01000523,2297,1182,1115
2021,Brent 031B,E01000524,2423,1279,1144
2021,Brent 031C,E01000525,1851,981,870
2021,Brent 025D,E01000526,2197,1204,993
2021,Brent 025E,E01000527,1875,991,884
2021,Brent 025F,E01000528,1725,922,803
2021,Brent 033A,E01000530,1820,965,855
2021,Brent 033B,E01000531,1797,958,839
2021,Brent 033C,E01000532,1509,826,683
2021,Brent 031E,E01000533,2172,1141,1031
2021,Brent 033D,E01000534,1748,895,853
2021,Brent 031F,E01000535,2053,1104,949
2021,Brent 004A,E01000536,1562,796,766
2021,Brent 004B,E01000538,1622,827,795
2021,Brent 004C,E01000539,1581,785,796
2021,Brent 004D,E01000540,1456,748,708
2021,Brent 004E,E01000541,1411,711,700
2021,Brent 003E,E01000543,1625,812,813
2021,Brent 034A,E01000544,1768,868,900
2021,Brent 028A,E01000545,1922,1009,913
2021,Brent 028B,E01000546,1643,867,776
2021,Brent 028C,E01000547,1656,841,815
2021,Brent 028D,E01000548,1984,1051,933
2021,Brent 028E,E01000549,1813,970,843
2021,Brent 034B,E01000550,2021,1060,961
2021,Brent 034C,E01000551,2894,1527,1367
2021,Brent 034D,E01000552,1510,788,722
2021,Brent 015A,E01000553,2040,1029,1011
2021,Brent 015B,E01000554,1970,1012,958
2021,Brent 015C,E01000555,1586,797,789
2021,Brent 015D,E01000556,2089,1109,980
2021,Brent 015E,E01000557,1864,885,979
2021,Brent 015F,E01000558,1389,732,657
